City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Iralaya,HN,2021-11-20 16:00:48,15.0,-83.2333,82.71,65,98,11.12
68,Waingapu,ID,2021-11-20 16:00:49,-9.6567,120.2641,82.99,75,95,3.13
69,Pisco,PE,2021-11-20 16:00:49,-13.7,-76.2167,67.01,84,100,5.79
70,Kodiak,US,2021-11-20 16:00:50,57.79,-152.4072,33.85,72,100,32.26
71,Hit,IQ,2021-11-20 16:00:50,33.6416,42.8251,68.05,33,99,7.23
72,Dudinka,RU,2021-11-20 15:57:10,69.4058,86.1778,-10.95,90,65,14.81
73,Arlit,NE,2021-11-20 16:00:50,18.7369,7.3853,93.29,10,54,7.47
74,Severo-Kurilsk,RU,2021-11-20 16:00:51,50.6789,156.125,36.41,94,99,6.87
75,Vaini,TO,2021-11-20 16:00:51,-21.2,-175.2,78.03,75,1,6.08
76,Garowe,SO,2021-11-20 16:00:52,8.4054,48.4845,78.48,46,34,18.34
77,Souillac,MU,2021-11-20 16:00:52,-20.5167,57.5167,77.36,68,45,11.52
78,Geraldton,AU,2021-11-20 15:57:07,-28.7667,114.6,64.81,68,0,5.75
79,Wukari,NG,2021-11-20 16:00:53,7.85,9.7833,94.6,30,30,3.42
80,Hermanus,ZA,2021-11-20 16:00:53,-34.4187,19.2345,75.9,69,40,20.58
81,Shenzhen,CN,2021-11-20 15:56:47,22.5455,114.0683,75.27,89,26,8.14
82,Avarua,CK,2021-11-20 16:00:54,-21.2078,-159.775,73.45,78,36,5.75
83,Yar-Sale,RU,2021-11-20 16:00:54,66.8333,70.8333,5.72,94,100,18.88
84,Port Elizabeth,ZA,2021-11-20 16:00:55,-33.918,25.5701,66.09,71,43,16.31
85,Atuona,PF,2021-11-20 16:00:55,-9.8,-139.0333,79.21,67,2,12.77
86,Kiama,AU,2021-11-20 15:57:13,-34.6833,150.8667,60.39,95,100,1.01
87,Pizarro,CO,2021-11-20 16:00:56,4.9533,-77.366,78.69,84,83,4.5
88,Careiro Da Varzea,BR,2021-11-20 16:00:56,-3.2003,-59.8119,84.83,65,97,3.6
89,Turayf,SA,2021-11-20 16:00:07,31.6725,38.6637,59.29,53,38,7.07
90,Bandarbeyla,SO,2021-11-20 16:00:56,9.4942,50.8122,77.9,72,2,10.69
91,Zhezkazgan,KZ,2021-11-20 16:00:57,47.8043,67.7144,19.04,90,100,12.53
92,Athens,GR,2021-11-20 15:57:32,37.9795,23.7162,60.39,60,20,1.01
93,New Norfolk,AU,2021-11-20 16:00:57,-42.7826,147.0587,51.3,80,76,2.62
94,Namatanai,PG,2021-11-20 16:00:58,-3.6667,152.4333,78.26,84,53,3.49
95,Cidreira,BR,2021-11-20 16:00:58,-30.1811,-50.2056,71.06,55,0,10.83
96,Aklavik,CA,2021-11-20 15:59:32,68.2191,-135.0107,5.0,85,90,3.44
97,Balkanabat,TM,2021-11-20 16:00:59,39.5108,54.3671,50.47,37,95,3.06
98,Avera,US,2021-11-20 16:00:59,33.194,-82.5271,53.67,34,0,12.55
99,Miandrivazo,MG,2021-11-20 16:01:00,-19.5167,45.4667,84.83,55,73,9.78
100,Puerto Ayora,EC,2021-11-20 16:01:00,-0.7393,-90.3518,70.93,74,83,10.31
101,Walvis Bay,NA,2021-11-20 16:01:01,-22.9575,14.5053,61.09,76,35,16.04
102,Upernavik,GL,2021-11-20 16:01:01,72.7868,-56.1549,4.87,71,94,6.2
103,Sao Joao Da Barra,BR,2021-11-20 16:01:02,-21.6403,-41.0511,74.07,87,100,17.31
104,Tigil,RU,2021-11-20 16:01:02,57.8,158.6667,26.89,67,88,21.0
105,Kavaratti,IN,2021-11-20 16:01:02,10.5669,72.642,81.73,75,83,12.48
106,Paamiut,GL,2021-11-20 16:01:03,61.994,-49.6678,32.94,98,100,14.94
107,Miri,MY,2021-11-20 16:01:03,4.4148,114.0089,77.81,89,92,3.85
108,Kavieng,PG,2021-11-20 16:01:04,-2.5744,150.7967,82.13,73,57,6.42
109,Mount Gambier,AU,2021-11-20 16:01:04,-37.8333,140.7667,45.01,90,1,5.3
110,Northport,US,2021-11-20 16:01:05,33.229,-87.5772,54.68,47,1,9.22
111,Saskylakh,RU,2021-11-20 16:01:05,71.9167,114.0833,-22.2,98,92,6.29
112,Cervo,ES,2021-11-20 16:01:06,43.6702,-7.4101,62.19,65,46,4.0
113,San Patricio,US,2021-11-20 16:01:06,28.017,-97.5169,71.87,74,3,2.73
114,Hobart,AU,2021-11-20 16:00:02,-42.8794,147.3294,51.66,88,90,4.61
115,Kilinochchi,LK,2021-11-20 16:01:07,9.3961,80.3982,77.22,81,49,10.56
116,Miyako,JP,2021-11-20 16:01:07,39.6367,141.9525,42.37,73,1,5.32
117,Casa Grande,US,2021-11-20 16:01:08,32.8795,-111.7573,69.8,21,57,2.57
118,Yellowknife,CA,2021-11-20 16:01:08,62.456,-114.3525,-0.58,91,40,10.0
119,Marsh Harbour,BS,2021-11-20 16:00:08,26.5412,-77.0636,75.16,87,100,22.35
120,Houma,US,2021-11-20 16:01:09,29.5958,-90.7195,69.01,72,1,3.44
121,Le Port,RE,2021-11-20 16:01:09,-20.9373,55.2919,77.61,92,40,6.13
122,Comodoro Rivadavia,AR,2021-11-20 16:01:09,-45.8667,-67.5,76.86,25,0,27.63
123,Belen,TR,2021-11-20 16:01:10,36.4891,36.2233,49.35,77,100,5.5
124,Kaitangata,NZ,2021-11-20 16:01:10,-46.2817,169.8464,50.68,97,95,2.42
125,Saint-Pierre,RE,2021-11-20 16:01:11,-21.3393,55.4781,77.29,74,20,3.44
126,Lompoc,US,2021-11-20 15:59:05,34.6391,-120.4579,64.13,87,90,4.61
127,Lebu,CL,2021-11-20 16:01:11,-37.6167,-73.65,60.01,76,49,16.15
128,Visnes,NO,2021-11-20 16:01:12,59.3556,5.2242,45.21,93,40,4.61
129,Koboko,UG,2021-11-20 16:01:12,3.4136,30.9599,70.23,68,92,4.94
130,Vila Franca Do Campo,PT,2021-11-20 16:01:13,37.7167,-25.4333,68.41,68,71,14.99
131,Kalemie,CD,2021-11-20 16:01:13,-5.9475,29.1947,78.19,68,48,0.92
132,Kaeo,NZ,2021-11-20 16:01:13,-35.1,173.7833,62.33,95,89,4.76
133,Butaritari,KI,2021-11-20 16:01:14,3.0707,172.7902,81.91,66,97,14.12
134,Kirakira,SB,2021-11-20 16:01:15,-10.4544,161.9205,77.49,84,91,3.74
135,Luanda,AO,2021-11-20 16:01:15,-8.8368,13.2343,80.4,75,29,13.42
136,Batsfjord,NO,2021-11-20 16:01:16,70.6345,29.7185,29.95,85,100,23.22
137,Fairbanks,US,2021-11-20 15:56:33,64.8378,-147.7164,-15.39,68,1,0.0
138,Provideniya,RU,2021-11-20 16:01:16,64.3833,-173.3,9.28,57,13,4.65
139,Bethel,US,2021-11-20 16:00:40,41.3712,-73.414,44.58,56,11,2.33
140,Coquimbo,CL,2021-11-20 16:01:17,-29.9533,-71.3436,62.33,73,44,7.74
141,Krasnyy Chikoy,RU,2021-11-20 16:01:17,50.3643,108.7512,14.83,94,100,4.29
142,Chaves,US,2021-11-20 16:01:18,33.3834,-104.4505,50.41,32,1,3.44
143,Sayyan,YE,2021-11-20 16:01:18,15.1718,44.3244,60.85,46,12,3.44
144,Tasiilaq,GL,2021-11-20 16:01:18,65.6145,-37.6368,28.56,95,100,18.1
145,Fort Frances,CA,2021-11-20 15:58:32,48.5999,-93.4003,27.16,73,37,1.01
146,Hambantota,LK,2021-11-20 16:01:19,6.1241,81.1185,77.34,88,0,4.61
147,San Ignacio,BZ,2021-11-20 16:01:20,17.1561,-89.0714,81.75,67,63,2.13
148,Lapeer,US,2021-11-20 16:00:09,43.0514,-83.3188,39.27,60,90,13.8
149,Udachnyy,RU,2021-11-20 16:01:20,66.4167,112.4,-27.78,99,12,4.59
150,Puerto Cabezas,NI,2021-11-20 16:01:21,14.0351,-83.3888,81.43,76,100,12.08
151,Sokolka,PL,2021-11-20 16:01:21,53.4072,23.5023,45.66,77,58,12.86
152,Katsuura,JP,2021-11-20 16:01:22,35.1333,140.3,57.31,74,14,7.72
153,Ahuimanu,US,2021-11-20 16:01:22,21.4447,-157.8378,75.85,82,73,7.4
154,Chernyshevskiy,RU,2021-11-20 16:01:22,63.0128,112.4714,-20.96,100,58,1.07
155,Miracema Do Tocantins,BR,2021-11-20 16:01:23,-9.5618,-48.3967,90.91,52,57,3.67
156,Saldanha,ZA,2021-11-20 16:01:23,-33.0117,17.9442,66.54,72,100,17.49
157,Savannah Bight,HN,2021-11-20 16:01:24,16.45,-85.85,82.99,72,85,1.92
158,Torbay,CA,2021-11-20 16:01:24,47.6666,-52.7314,43.29,92,90,13.8
159,Port-Gentil,GA,2021-11-20 16:01:24,-0.7193,8.7815,79.66,82,98,14.2
160,Hobyo,SO,2021-11-20 16:01:25,5.3505,48.5268,80.4,67,79,13.31
161,Anton Lizardo,MX,2021-11-20 16:01:25,19.05,-95.9833,79.21,71,21,16.51
162,Noyabrsk,RU,2021-11-20 16:01:26,63.1994,75.4507,8.62,94,100,17.07
163,Paraiso,CR,2021-11-20 16:01:26,9.8383,-83.8656,79.88,53,11,5.48
164,Tiksi,RU,2021-11-20 16:01:27,71.6872,128.8694,-13.54,97,100,6.55
165,Goundi,TD,2021-11-20 16:01:27,9.3627,17.366,91.36,19,14,3.24
166,Fortuna,US,2021-11-20 16:01:28,40.5982,-124.1573,45.43,66,90,7.0
167,Sortland,NO,2021-11-20 16:01:28,68.6949,15.4162,34.36,87,94,15.35
168,Beloha,MG,2021-11-20 16:01:28,-25.1667,45.05,73.94,80,59,13.76
169,Quelimane,MZ,2021-11-20 16:01:29,-17.8786,36.8883,80.13,80,23,9.48
170,Rorvik,NO,2021-11-20 16:01:29,64.8621,11.2373,44.76,63,100,21.99
171,Amahai,ID,2021-11-20 16:01:30,-3.3333,128.9167,79.93,84,97,2.95
172,Lazaro Cardenas,MX,2021-11-20 16:01:30,17.9583,-102.2,81.21,55,0,2.91
173,Pangnirtung,CA,2021-11-20 16:01:30,66.1451,-65.7125,11.21,76,95,6.11
174,Davenda,RU,2021-11-20 16:01:31,53.5556,119.317,9.41,90,100,3.22
175,Bemidji,US,2021-11-20 16:01:32,47.4736,-94.8803,28.06,84,1,6.91
176,Shimoda,JP,2021-11-20 16:01:32,34.6667,138.95,57.31,77,57,9.37
177,Salinas,US,2021-11-20 16:01:15,36.6777,-121.6555,58.15,91,90,8.05
178,Quatre Cocos,MU,2021-11-20 16:01:33,-20.2078,57.7625,77.09,66,9,10.89
179,Koumac,NC,2021-11-20 16:01:33,-20.5667,164.2833,73.47,78,1,11.01
180,Mitsamiouli,KM,2021-11-20 16:01:34,-11.3847,43.2844,80.65,72,40,9.64
181,Plettenberg Bay,ZA,2021-11-20 16:01:35,-34.0527,23.3716,63.25,78,61,18.34
182,San Borja,BO,2021-11-20 16:01:35,-14.8167,-66.85,83.68,56,98,3.02
183,Bundaberg,AU,2021-11-20 16:01:35,-24.85,152.35,69.22,91,90,5.95
184,Fare,PF,2021-11-20 16:01:36,-16.7,-151.0167,80.19,76,34,20.18
185,Muros,ES,2021-11-20 16:01:36,42.7762,-9.0603,66.7,62,86,5.93
186,Lantawan,PH,2021-11-20 16:01:36,10.6167,123.9833,76.87,87,83,2.08
187,Vao,NC,2021-11-20 16:01:37,-22.6667,167.4833,72.73,82,48,17.47
188,Hami,CN,2021-11-20 16:01:38,42.8,93.45,28.24,35,0,5.41
189,Samarinda,ID,2021-11-20 16:01:38,-0.5,117.15,74.44,97,100,0.89
190,Los Llanos De Aridane,ES,2021-11-20 16:01:38,28.6585,-17.9182,67.75,56,20,3.0
191,Honningsvag,NO,2021-11-20 16:01:39,70.9821,25.9704,33.31,60,100,29.08
192,East London,ZA,2021-11-20 16:01:39,-33.0153,27.9116,64.8,73,99,12.08
193,Rossano,IT,2021-11-20 16:01:40,39.5751,16.6349,59.14,70,17,2.17
194,Thinadhoo,MV,2021-11-20 16:01:40,0.5333,72.9333,81.39,80,97,17.98
195,Ambulu,ID,2021-11-20 16:01:40,-8.345,113.6058,75.52,87,100,3.0
196,Bengkulu,ID,2021-11-20 16:01:41,-3.8004,102.2655,77.25,89,95,3.67
197,Yumen,CN,2021-11-20 16:01:42,40.2833,97.2,20.14,51,0,5.64
198,Casablanca,MA,2021-11-20 16:00:05,33.5928,-7.6192,70.02,64,9,8.99
199,Bambous Virieux,MU,2021-11-20 16:01:42,-20.3428,57.7575,77.22,66,7,11.03
200,Kamskiye Polyany,RU,2021-11-20 16:01:43,55.4307,51.4171,31.01,92,100,17.49
201,Hasaki,JP,2021-11-20 16:01:43,35.7333,140.8333,46.8,61,36,8.16
202,Kaupanger,NO,2021-11-20 16:01:43,61.1845,7.2404,40.1,93,95,1.74
203,Garissa,KE,2021-11-20 16:01:44,-0.4536,39.6401,88.25,50,92,11.68
204,Harda,IN,2021-11-20 16:01:44,22.3333,77.1,71.91,48,87,8.77
205,Visby,SE,2021-11-20 16:01:45,57.6409,18.296,46.62,81,20,17.27
206,Miles City,US,2021-11-20 16:00:20,46.4083,-105.8406,36.95,40,8,3.06
207,Dikson,RU,2021-11-20 16:01:45,73.5069,80.5464,-10.66,92,51,12.19
208,Faanui,PF,2021-11-20 16:01:46,-16.4833,-151.75,80.22,77,68,20.22
209,Henties Bay,NA,2021-11-20 16:01:46,-22.116,14.2845,60.85,82,37,13.24
210,Redlands,US,2021-11-20 16:00:36,34.0556,-117.1825,72.14,41,40,0.0
211,Sikonge,TZ,2021-11-20 16:01:47,-5.6333,32.7667,83.75,27,28,5.68
212,Itaituba,BR,2021-11-20 16:01:47,-4.2761,-55.9836,84.92,71,99,3.89
213,Asmar,AF,2021-11-20 16:01:47,35.0333,71.3581,55.02,26,0,9.62
214,Ballina,AU,2021-11-20 16:01:48,-28.8667,153.5667,68.77,98,100,8.34
215,Hovd,MN,2021-11-20 16:01:48,48.0056,91.6419,7.79,37,1,1.03
216,Poum,NC,2021-11-20 16:01:49,-20.2333,164.0167,76.15,72,1,17.54
217,Vanavara,RU,2021-11-20 16:01:16,60.34,102.2797,-17.41,100,88,2.57
